command,cpu_usage,timestamp
switche+,0.0,2023-08-31 10:30:08
systemd+,0.0,2023-08-31 10:30:08
thermald,0.0,2023-08-31 10:30:08
udisksd,0.0,2023-08-31 10:30:08
wpa_sup+,0.0,2023-08-31 10:30:08
avahi-d+,0.0,2023-08-31 10:30:08
configh+,0.0,2023-08-31 10:30:08
cupsd,0.0,2023-08-31 10:30:08
unatten+,0.0,2023-08-31 10:30:08
contain+,0.0,2023-08-31 10:30:08
ModemMa+,0.0,2023-08-31 10:30:08
sshd,0.0,2023-08-31 10:30:08
gdm3,0.0,2023-08-31 10:30:08
hwrng,0.0,2023-08-31 10:30:08
cups-br+,0.0,2023-08-31 10:30:08
kernelo+,0.0,2023-08-31 10:30:08
kernelo+,0.0,2023-08-31 10:30:08
rtkit-d+,0.0,2023-08-31 10:30:08
teamvie+,0.0,2023-08-31 10:30:08
master,0.0,2023-08-31 10:30:08
dockerd,0.0,2023-08-31 10:30:08
fluentd,0.0,2023-08-31 10:30:08
ruby,0.0,2023-08-31 10:30:08
upowerd,0.0,2023-08-31 10:30:08
geoclue,0.0,2023-08-31 10:30:08
package+,0.0,2023-08-31 10:30:08
gdm-ses+,0.0,2023-08-31 10:30:08
systemd,0.0,2023-08-31 10:30:08
(sd-pam),0.0,2023-08-31 10:30:08
colord,0.0,2023-08-31 10:30:08
pipewire,0.0,2023-08-31 10:30:08
pipewir+,0.0,2023-08-31 10:30:08
pulseau+,0.0,2023-08-31 10:30:08
dbus-da+,0.0,2023-08-31 10:30:08
gvfsd,0.0,2023-08-31 10:30:08
gvfsd-f+,0.0,2023-08-31 10:30:08
xdg-doc+,0.0,2023-08-31 10:30:08
xdg-per+,0.0,2023-08-31 10:30:08
fusermo+,0.0,2023-08-31 10:30:08
gnome-k+,0.0,2023-08-31 10:30:08
gdm-way+,0.0,2023-08-31 10:30:08
gnome-s+,0.0,2023-08-31 10:30:08
krfcommd,0.0,2023-08-31 10:30:08
gnome-s+,0.0,2023-08-31 10:30:08
gnome-s+,0.0,2023-08-31 10:30:08
at-spi-+,0.0,2023-08-31 10:30:08
dbus-da+,0.0,2023-08-31 10:30:08
gnome-s+,0.0,2023-08-31 10:30:08
java,0.0,2023-08-31 10:30:08
gnome-s+,0.0,2023-08-31 10:30:08
dconf-s+,0.0,2023-08-31 10:30:08
gvfs-ud+,0.0,2023-08-31 10:30:08
evoluti+,0.0,2023-08-31 10:30:08
gvfs-go+,0.0,2023-08-31 10:30:08
goa-dae+,0.0,2023-08-31 10:30:08
gvfsd-m+,0.0,2023-08-31 10:30:08
snapd-d+,0.0,2023-08-31 10:30:08
snapd-d+,0.0,2023-08-31 10:30:08
evoluti+,0.0,2023-08-31 10:30:08
xdg-des+,0.0,2023-08-31 10:30:08
xdg-des+,0.0,2023-08-31 10:30:08
goa-ide+,0.0,2023-08-31 10:30:08
gvfs-mt+,0.0,2023-08-31 10:30:08
gvfs-gp+,0.0,2023-08-31 10:30:08
gvfs-af+,0.0,2023-08-31 10:30:08
evoluti+,0.0,2023-08-31 10:30:08
gvfsd-t+,0.0,2023-08-31 10:30:08
gjs,0.0,2023-08-31 10:30:08
at-spi2+,0.0,2023-08-31 10:30:08
sh,0.0,2023-08-31 10:30:08
gsd-a11+,0.0,2023-08-31 10:30:08
gsd-col+,0.0,2023-08-31 10:30:08
ibus-da+,0.0,2023-08-31 10:30:08
gsd-dat+,0.0,2023-08-31 10:30:08
gsd-hou+,0.0,2023-08-31 10:30:08
gsd-key+,0.0,2023-08-31 10:30:08
gsd-med+,0.0,2023-08-31 10:30:08
gsd-pow+,0.0,2023-08-31 10:30:08
gsd-pri+,0.0,2023-08-31 10:30:08
gsd-rfk+,0.0,2023-08-31 10:30:08
gsd-scr+,0.0,2023-08-31 10:30:08
gsd-sha+,0.0,2023-08-31 10:30:08
gsd-sma+,0.0,2023-08-31 10:30:08
gsd-sou+,0.0,2023-08-31 10:30:08
gsd-wac+,0.0,2023-08-31 10:30:08
fortitr+,0.0,2023-08-31 10:30:08
evoluti+,0.0,2023-08-31 10:30:08
gsd-dis+,0.0,2023-08-31 10:30:08
ibus-dc+,0.0,2023-08-31 10:30:08
ibus-ex+,0.0,2023-08-31 10:30:08
gsd-pri+,0.0,2023-08-31 10:30:08
ibus-po+,0.0,2023-08-31 10:30:08
